Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 1.0,FPN 1.0,Benin,BEN,2017,YR2017,1.721,3.586,1.211,2.523,0.316,0.659,3.55,5.44,2.498,0.652,1.168,2.85,0.538,1.31,0.297,0.72,0.125,0.3,0.41,1.012,2.47,0.329,0.152,0.084,0.035,0.285,0.115,13.9,82.3,90.7,1.5,9.2,10.1,11175192
Food Prices for Nutrition 1.0,FPN 1.0,Benin,BEN,2018,YR2018,..,3.707,..,..,..,..,3.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.1,..,..,10,11485035
Food Prices for Nutrition 1.0,FPN 1.0,Benin,BEN,2019,YR2019,..,3.701,..,..,..,..,3.664,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.9,..,..,9.8,11801151
Food Prices for Nutrition 1.0,FPN 1.0,Benin,BEN,2020,YR2020,..,3.744,..,..,..,..,3.707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.9,..,..,10.1,12123198
Food Prices for Nutrition 1.0,FPN 1.0,Benin,BEN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bermuda,BMU,2017,YR2017,0.387,4.113,0.447,4.754,0.104,1.11,4.072,3.71,4.706,1.099,0.502,0.68,0.478,0.64,0.53,0.71,0.165,0.22,0.743,1.652,2.22,0.123,0.117,0.13,0.041,0.406,0.182,..,..,..,..,..,..,63873
Food Prices for Nutrition 1.0,FPN 1.0,Bermuda,BMU,2018,YR2018,..,3.881,..,..,..,..,3.842,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63919
Food Prices for Nutrition 1.0,FPN 1.0,Bermuda,BMU,2019,YR2019,..,3.826,..,..,..,..,3.788,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63913
Food Prices for Nutrition 1.0,FPN 1.0,Bermuda,BMU,2020,YR2020,..,3.653,..,..,..,..,3.616,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63903
Food Prices for Nutrition 1.0,FPN 1.0,Bermuda,BMU,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,BTN,2017,YR2017,0.753,4.427,0.481,2.83,0.18,1.058,4.383,4.19,2.802,1.047,1.191,2.21,1.122,2.08,0.427,0.79,0.164,0.3,0.54,0.94,1.74,0.272,0.256,0.097,0.037,0.214,0.123,1.3,32.7,57.6,0,0.2,0.4,745563
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,BTN,2018,YR2018,..,4.633,..,..,..,..,4.587,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.2,..,..,0.4,754396
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,BTN,2019,YR2019,..,4.76,..,..,..,..,4.712,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50,..,..,0.4,763094
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,BTN,2020,YR2020,..,5.08,..,..,..,..,5.029,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53,..,..,0.4,771612
Food Prices for Nutrition 1.0,FPN 1.0,Bhutan,BTN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,BOL,2017,YR2017,0.624,3.587,0.586,3.372,0.258,1.483,3.551,2.42,3.338,1.468,1.046,1.34,0.411,0.53,0.53,0.68,0.14,0.18,0.781,0.644,0.82,0.295,0.116,0.149,0.039,0.181,0.22,9.3,28,30.2,1,3.1,3.4,11192853
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,BOL,2018,YR2018,..,3.685,..,..,..,..,3.648,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.6,..,..,3.3,11353140
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,BOL,2019,YR2019,..,3.807,..,..,..,..,3.769,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.4,..,..,2.9,11513102
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,BOL,2020,YR2020,..,3.793,..,..,..,..,3.755,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.7,..,..,2.9,11673029
Food Prices for Nutrition 1.0,FPN 1.0,Bolivia,BOL,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bonaire,BON,2017,YR2017,..,..,1.002,3.363,0.225,0.754,..,..,3.329,0.746,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bonaire,BON,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bonaire,BON,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bonaire,BON,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bonaire,BON,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,BIH,2017,YR2017,0.487,3.886,0.386,3.082,0.087,0.698,3.847,5.57,3.051,0.691,0.921,1.71,0.916,1.7,0.512,0.95,0.132,0.24,0.54,0.825,1.53,0.239,0.238,0.133,0.034,0.214,0.14,0,2.3,4.6,0,0.1,0.2,3351534
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,BIH,2018,YR2018,..,3.929,..,..,..,..,3.89,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,..,..,0.1,3323929
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,BIH,2019,YR2019,..,3.934,..,..,..,..,3.895,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.6,..,..,0.1,3300998
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,BIH,2020,YR2020,..,4.035,..,..,..,..,3.995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.7,..,..,0.1,3280815
Food Prices for Nutrition 1.0,FPN 1.0,Bosnia and Herzegovina,BIH,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,BWA,2017,YR2017,0.274,3.659,0.17,2.273,0.038,0.51,3.622,7.17,2.25,0.505,1.097,2.81,0.795,2.04,0.402,1.03,0.142,0.36,0.39,0.796,2.04,0.303,0.219,0.111,0.039,0.22,0.108,1.4,45.1,63.8,0,1,1.4,2205076
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,BWA,2018,YR2018,..,3.611,..,..,..,..,3.575,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.5,..,..,1.4,2254067
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,BWA,2019,YR2019,..,3.627,..,..,..,..,3.591,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.8,..,..,1.4,2303703
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,BWA,2020,YR2020,..,3.738,..,..,..,..,3.701,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.4,..,..,1.4,2351625
Food Prices for Nutrition 1.0,FPN 1.0,Botswana,BWA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2017,YR2017,0.425,3.529,0.266,2.206,0.078,0.647,3.952,5.45,2.471,0.725,1.204,2.01,0.911,1.52,0.441,0.74,0.089,0.15,0.599,0.707,1.18,0.305,0.231,0.112,0.023,0.179,0.152,0,8.9,31.3,0,0.3,0.9,2873457
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2018,YR2018,..,3.617,..,..,..,..,4.051,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.8,..,..,0.7,2866376
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2019,YR2019,..,3.676,..,..,..,..,4.117,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.9,..,..,0.4,2854191
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2020,YR2020,..,3.747,..,..,..,..,4.197,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.2,..,..,0.4,2837849
Food Prices for Nutrition 1.1,FPN 1.1,Albania,ALB,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2017,YR2017,0.605,3.36,0.374,2.074,0.124,0.69,3.763,4.87,2.323,0.773,0.964,1.94,0.979,1.97,0.493,0.99,0.132,0.27,0.496,0.699,1.41,0.256,0.26,0.131,0.035,0.186,0.132,0.1,6.3,32.7,0.1,2.6,13.5,41136546
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2018,YR2018,..,3.413,..,..,..,..,3.822,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.5,..,..,13.2,41927007
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2019,YR2019,..,3.389,..,..,..,..,3.796,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.5,..,..,12.4,42705368
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2020,YR2020,..,3.357,..,..,..,..,3.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.9,..,..,11.7,43451666
Food Prices for Nutrition 1.1,FPN 1.1,Algeria,DZA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2017,YR2017,0.972,3.863,0.726,2.885,0.315,1.253,4.327,3.08,3.231,1.403,1.011,1.21,0.717,0.85,0.395,0.47,0.166,0.2,0.839,1.199,1.43,0.234,0.166,0.091,0.038,0.277,0.194,35.6,70.8,81.2,10.8,21.4,24.5,30208628
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2018,YR2018,..,3.833,..,..,..,..,4.293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.7,..,..,25.9,31273533
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2019,YR2019,..,3.886,..,..,..,..,4.352,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.8,..,..,26.2,32353588
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2020,YR2020,..,4.048,..,..,..,..,4.534,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.7,..,..,26.5,33428486
Food Prices for Nutrition 1.1,FPN 1.1,Angola,AGO,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2017,YR2017,0.577,3.319,0.378,2.172,0.203,1.168,3.717,2.84,2.433,1.308,0.647,0.83,0.811,1.04,0.328,0.42,0.134,0.17,0.778,1.019,1.31,0.174,0.218,0.088,0.036,0.274,0.209,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Anguilla,AIA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Antigua and Barbuda,ATG,2017,YR2017,0.767,3.671,0.563,2.694,0.174,0.833,4.112,4.41,3.017,0.933,0.682,1.13,1.003,1.66,0.429,0.71,0.115,0.19,0.604,1.279,2.12,0.166,0.244,0.104,0.028,0.311,0.147,..,..,..,..,..,..,91119
Food Prices for Nutrition 1.1,FPN 1.1,Antigua and Barbuda,ATG,2018,YR2018,..,3.841,..,..,..,..,4.302,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91626
Food Prices for Nutrition 1.1,FPN 1.1,Antigua and Barbuda,ATG,2019,YR2019,..,3.921,..,..,..,..,4.391,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92117
Food Prices for Nutrition 1.1,FPN 1.1,Antigua and Barbuda,ATG,2020,YR2020,..,4.021,..,..,..,..,4.504,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92664
Food Prices for Nutrition 1.1,FPN 1.1,Antigua and Barbuda,ATG,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Argentina,ARG,2017,YR2017,0.395,2.983,0.31,2.344,0.077,0.582,3.341,5.12,2.625,0.652,0.669,1.44,0.733,1.58,0.656,1.42,0.117,0.25,0.463,0.703,1.52,0.2,0.219,0.196,0.035,0.21,0.139,0.2,4,6.8,0.1,1.8,3,44044811
Food Prices for Nutrition 1.1,FPN 1.1,Argentina,ARG,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Argentina,ARG,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Argentina,ARG,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Argentina,ARG,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Armenia,ARM,2017,YR2017,0.27,2.764,0.192,1.971,0.088,0.904,3.096,3.06,2.208,1.013,0.973,1.81,0.488,0.91,0.541,1.01,0.123,0.23,0.537,0.433,0.81,0.314,0.158,0.175,0.04,0.14,0.173,0.5,14.3,37.1,0,0.4,1.1,2851923
Food Prices for Nutrition 1.1,FPN 1.1,Armenia,ARM,2018,YR2018,..,2.827,..,..,..,..,3.166,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.9,..,..,1.1,2836557
Food Prices for Nutrition 1.1,FPN 1.1,Armenia,ARM,2019,YR2019,..,2.89,..,..,..,..,3.237,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,..,..,1.1,2820602
Food Prices for Nutrition 1.1,FPN 1.1,Armenia,ARM,2020,YR2020,..,2.899,..,..,..,..,3.247,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.5,..,..,1.1,2805608
Food Prices for Nutrition 1.1,FPN 1.1,Armenia,ARM,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Aruba,ABW,2017,YR2017,0.723,3.052,0.6,2.531,0.239,1.009,3.418,3.02,2.835,1.13,0.718,0.9,0.475,0.6,0.407,0.51,0.115,0.14,0.797,0.907,1.14,0.21,0.139,0.119,0.034,0.265,0.233,..,..,..,..,..,..,105439
Food Prices for Nutrition 1.1,FPN 1.1,Aruba,ABW,2018,YR2018,..,3.232,..,..,..,..,3.62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105962
Food Prices for Nutrition 1.1,FPN 1.1,Aruba,ABW,2019,YR2019,..,3.488,..,..,..,..,3.907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106442
Food Prices for Nutrition 1.1,FPN 1.1,Aruba,ABW,2020,YR2020,..,3.695,..,..,..,..,4.138,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106585
Food Prices for Nutrition 1.1,FPN 1.1,Aruba,ABW,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Australia,AUS,2017,YR2017,0.333,2.017,0.235,1.424,0.045,0.274,2.259,7.36,1.595,0.307,0.458,2.07,0.667,3.02,0.249,1.13,0.067,0.3,0.221,0.597,2.7,0.203,0.295,0.11,0.03,0.264,0.098,0.2,0.5,0.7,0.1,0.1,0.2,24594202
Food Prices for Nutrition 1.1,FPN 1.1,Australia,AUS,2018,YR2018,..,2.029,..,..,..,..,2.273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.2,24966643
Food Prices for Nutrition 1.1,FPN 1.1,Australia,AUS,2019,YR2019,..,2.076,..,..,..,..,2.325,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.2,25340217
Food Prices for Nutrition 1.1,FPN 1.1,Australia,AUS,2020,YR2020,..,2.287,..,..,..,..,2.561,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.2,25655289
Food Prices for Nutrition 1.1,FPN 1.1,Australia,AUS,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Austria,AUT,2017,YR2017,0.39,2.475,0.318,2.014,0.049,0.309,2.772,8.01,2.256,0.346,0.612,2.67,0.819,3.58,0.36,1.57,0.055,0.24,0.229,0.698,3.05,0.221,0.295,0.13,0.02,0.252,0.083,0.2,0.5,0.6,0,0,0.1,8797566
Food Prices for Nutrition 1.1,FPN 1.1,Austria,AUT,2018,YR2018,..,2.543,..,..,..,..,2.848,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0.1,8840521
Food Prices for Nutrition 1.1,FPN 1.1,Austria,AUT,2019,YR2019,..,2.516,..,..,..,..,2.818,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0.1,8879920
Food Prices for Nutrition 1.1,FPN 1.1,Austria,AUT,2020,YR2020,..,2.662,..,..,..,..,2.981,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0.1,8916864
Food Prices for Nutrition 1.1,FPN 1.1,Austria,AUT,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Azerbaijan,AZE,2017,YR2017,0.288,2.096,0.225,1.639,0.097,0.704,2.348,2.98,1.836,0.789,0.729,1.63,0.26,0.58,0.463,1.03,0.132,0.29,0.448,0.317,0.71,0.31,0.111,0.197,0.056,0.135,0.191,0,0,0,0,0,0,9854033
Food Prices for Nutrition 1.1,FPN 1.1,Azerbaijan,AZE,2018,YR2018,..,2.142,..,..,..,..,2.399,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,9939771
Food Prices for Nutrition 1.1,FPN 1.1,Azerbaijan,AZE,2019,YR2019,..,2.196,..,..,..,..,2.459,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,10024283
Food Prices for Nutrition 1.1,FPN 1.1,Azerbaijan,AZE,2020,YR2020,..,2.262,..,..,..,..,2.533,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,10093121
Food Prices for Nutrition 1.1,FPN 1.1,Azerbaijan,AZE,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,"Bahamas, The",BHS,2017,YR2017,0.69,3.818,0.755,4.181,0.169,0.937,4.276,4.08,4.683,1.049,0.848,1.48,1.03,1.79,0.656,1.14,0.453,0.79,0.574,0.716,1.25,0.198,0.241,0.153,0.106,0.167,0.134,..,..,..,..,..,..,399020
Food Prices for Nutrition 1.1,FPN 1.1,"Bahamas, The",BHS,2018,YR2018,..,3.917,..,..,..,..,4.387,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,401906
Food Prices for Nutrition 1.1,FPN 1.1,"Bahamas, The",BHS,2019,YR2019,..,3.896,..,..,..,..,4.364,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,404557
Food Prices for Nutrition 1.1,FPN 1.1,"Bahamas, The",BHS,2020,YR2020,..,4.007,..,..,..,..,4.488,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,406471
Food Prices for Nutrition 1.1,FPN 1.1,"Bahamas, The",BHS,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2017,YR2017,0.492,3.017,0.412,2.526,0.115,0.707,3.379,4.27,2.829,0.792,1.006,1.54,0.474,0.73,0.373,0.57,0.185,0.28,0.653,0.688,1.05,0.298,0.14,0.11,0.055,0.204,0.193,..,..,..,..,..,..,1456834
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2018,YR2018,..,3.092,..,..,..,..,3.463,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1487340
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2019,YR2019,..,3.19,..,..,..,..,3.573,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1494188
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2020,YR2020,..,3.424,..,..,..,..,3.835,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1477469
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bangladesh,BGD,2017,YR2017,0.648,2.573,0.438,1.738,0.145,0.575,2.882,4.48,1.947,0.644,1.143,3.18,0.559,1.56,0.227,0.63,0.118,0.33,0.359,0.477,1.33,0.397,0.194,0.079,0.041,0.166,0.125,0.5,47.4,74.6,0.9,76.7,120.7,161793964
Food Prices for Nutrition 1.1,FPN 1.1,Bangladesh,BGD,2018,YR2018,..,2.653,..,..,..,..,2.971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.4,..,..,116.8,163683958
